Location Id,Business Account Number,Ownership Name,DBA Name,Street Address,City,State,Source Zipcode,Business Start Date,Business End Date,Location Start Date,Location End Date,Mail Address,Mail City,Mail Zipcode,Mail State,NAICS Code,NAICS Code Description,Parking Tax,Transient Occupancy Tax,LIC Code,LIC Code Description,Supervisor District,Neighborhoods - Analysis Boundaries,Business Corridor,Business Location,SF Find Neighborhoods,Current Police Districts,Current Supervisor Districts,Analysis Neighborhoods,DELETE - Zip Codes,DELETE - Fire Prevention Districts,DELETE - Supervisor Districts,DELETE - Current Police Districts,DELETE - Neighborhoods,DELETE - Police Districts
1167315-11-171,484819,Deliboard Llc,The Board,1077 Mission St,San Francisco,CA,94103,09/02/2011,,11/14/2017,,1058 FOLSOM ST,San Francisco,94103,CA,7220-7229,Food Services,f,f,H25,"RESTAURANT 1,000 - 2,000 SQFT",,,,,,,,,,,,,,
0325714-01-001,325714,Blue Enclave Llc,The Blue Plate,3218 Mission St,San Francisco,CA,94110,04/13/1999,,04/13/1999,,3218 MISSION ST,San Francisco,94110,CA,7220-7229,Food Services,f,f,H25,"RESTAURANT 1,000 - 2,000 SQFT",9,Bernal Heights,,POINT (-122.420198 37.745124),83,9,2,2,28859,2,7,4,2,7
1036014-08-151,1016839,Lombard Hospitality Group Llc,The Blue Light,1979 Union St,San Francisco,CA,94123,08/07/2015,,08/07/2015,,1979 UNION ST,San Francisco,94123,CA,7220-7229,Food Services,f,f,D04 H26 P12 P54,Multiple,,,,POINT (-122.431892 37.797543),15,4,6,13,57,13,1,6,17,9
0434475-01-001,434475,"Ddm Partners, Llc",The Bloodhound,1145 Folsom St,San Francisco,CA,94103,01/15/2009,,01/15/2009,,1145 FOLSOM ST,San Francisco,94103,CA,7220-7229,Food Services,f,f,H86 P12,Multiple,6,South of Market,,POINT (-122.408971 37.775865),32,1,10,34,28853,8,9,2,34,2
1088097-08-161,1041886,115 New Montgomery Llc,The Bird,115 New Montgomery St,San Francisco,CA,94105,08/10/2016,,08/10/2016,,1829 UNION ST,San Francisco,94123,CA,7220-7229,Food Services,f,f,H25,"RESTAURANT 1,000 - 2,000 SQFT",6,Financial District/South Beach,,,,,,,,,,,,
0924187-01-001,924187,Vittice Corp,The Bell,1900 Polk St,San Francisco,CA,94109,07/21/1993,,07/21/1993,,1900 POLK ST,San Francisco,94109,CA,7220-7229,Food Services,f,f,H26,"RESTAURANT GREATER THAN 2,000 SQFT",3,Russian Hill,,POINT (-122.421442 37.794298),105,4,3,32,28858,13,10,6,32,9
1159110-08-171,1075227,Second Label Llc,The Bee Hive Sf,842 Valencia St,San Francisco,CA,94110,08/24/2017,,08/24/2017,,850 SHOTWELL ST,San Francisco,94110,CA,7220-7229,Food Services,f,f,D04 H26,Multiple,,,,,,,,,,,,,,
0302698-08-001,302698,Beanery Inc The,The Beanery Inc.,602 Irving St,San Francisco,CA,94122,01/01/1997,,05/14/2013,,1307 9TH AVE,San Francisco,94122,CA,7220-7229,Food Services,f,f,H24 POS01 WM30,Multiple,,,,POINT (-122.464195 37.764138),109,7,11,14,56,11,11,8,12,5
0302698-06-001,302698,Beanery Inc The,The Beanery Inc,1307 9th Ave,San Francisco,CA,94122,01/01/1997,,05/14/2013,,1307 9TH AVE,San Francisco,94122,CA,7220-7229,Food Services,f,f,H24 POS01 WM18,Multiple,5,Inner Sunset,,POINT (-122.466305 37.763823),109,10,11,14,56,1,11,5,12,8
0302698-01-001,302698,Beanery Inc The,The Beanery,602 Irving St,San Francisco,CA,94122,01/01/1997,,01/01/1997,01/02/2015,1307 9TH AVE,San Francisco,94122,CA,7220-7229,Food Services,f,f,H24,"RESTAURANT LESS THAN 1,000 SQFT",5,Inner Sunset,,POINT (-122.464195 37.764138),109,7,11,14,56,11,11,8,12,5
0302698-01-002,302698,Beanery Inc The,The Beanery,1307 9th Ave,San Francisco,CA,94122,01/01/1997,,01/01/1997,01/02/2015,1307 9TH AVE,San Francisco,94122,CA,7220-7229,Food Services,f,f,H24,"RESTAURANT LESS THAN 1,000 SQFT",,,,POINT (-122.466305 37.763823),109,10,11,14,56,1,11,5,12,8
0944781-02-001,944781,Beach Chalet Lp The,The Beach Chalet Brewery &Rest,1000 Great Hwy,San Francisco,CA,94121,08/31/1995,,03/03/2009,,1411 POWELL ST,Emeryville,94608,CA,7220-7229,Food Services,f,f,H26 P23,Multiple,1,Golden Gate Park,,POINT (-122.51064 37.768875),9,8,4,12,55,11,2,9,8,6
1083299-07-161,458693,Kronen Carlos S,The Bartender Truck,5420 Fulton St,San Francisco,CA,94121,05/01/2011,,07/15/2016,,5420 FULTON ST,San Francisco,94121,CA,7220-7229,Food Services,f,f,,,1,Outer Richmond,,,,,,,,,,,,
0458693-03-001,458693,Kronen Carlos S,The Bartender Company,5420 Fulton St,San Francisco,CA,94121,05/01/2011,,08/22/2012,,5420 FULTON ST,San Francisco,94121,CA,7220-7229,Food Services,f,f,,,1,Outer Richmond,,POINT (-122.489992 37.772291),9,8,4,12,55,11,2,9,8,6
0459426-01-001,459426,Goddard Trubnick Llc,The Barrel Room,620 Post St,San Francisco,CA,94109,05/20/2011,,05/20/2011,04/03/2015,1486 CAMPUS DR,Berkeley,94708,CA,7220-7229,Food Services,f,f,,,3,Nob Hill,,POINT (-122.41212 37.787814),50,6,3,36,28852,5,10,1,36,1
1025262-04-151,459426,Goddard Trubnick Llc,The Barrel Room,415 Sansome St,San Francisco,CA,94111,05/20/2011,,04/03/2015,,1486 CAMPUS DR,Berkeley,94708,CA,7220-7229,Food Services,f,f,H26 H86,Multiple,3,Chinatown,,POINT (-122.401406 37.794309),108,6,3,6,28860,3,10,1,4,1
1025264-04-151,459426,Goddard Trubnick Llc,The Barrel Room,415 Sansome St #C,San Francisco,CA,94111,05/20/2011,,04/03/2015,,1486 CAMPUS DR,Berkeley,94708,CA,7220-7229,Food Services,f,f,,,,,,POINT (-122.401406 37.794309),108,6,3,6,28860,3,10,1,4,1
1205598-11-181,1095031,"Mav, Inc",The Barbary Coast Pastry And Coffee,1408 Market St,San Francisco,CA,94102,11/15/2018,,11/15/2018,,1408 MARKET ST,San Francisco,94102,CA,7220-7229,Food Services,f,f,,,,,,,,,,,,,,,,
0454871-03-001,454871,Beck & Bloom Llc,The Bakery,2590 Mission St,San Francisco,CA,94110,12/25/2010,,02/01/2013,,PO BOX 720128,Oklahoma City,73172,OK,7220-7229,Food Services,f,f,,,9,Mission,,POINT (-122.418759 37.755566),53,3,2,20,28859,2,7,7,19,4
0469221-01-001,469221,Ly Khanh Long,The Bagelry Of S F,2139 Polk St,San Francisco,CA,94109,04/01/2012,,04/01/2012,,2139A POLK ST,San Francisco,94109,CA,7220-7229,Food Services,f,f,H25,"RESTAURANT 1,000 - 2,000 SQFT",3,Russian Hill,,POINT (-122.42191 37.79654),105,4,3,32,28858,13,10,6,32,9
1033092-07-151,1015757,Chea Sok May,The Bagel Bakery Cafe,151 Townsend St,San Francisco,CA,94107,07/10/2015,,07/10/2015,,151 TOWNSEND ST,San Francisco,94107,CA,7220-7229,Food Services,f,f,H25,"RESTAURANT 1,000 - 2,000 SQFT",,,,POINT (-122.391532 37.779839),31,1,10,8,28856,6,9,2,6,2
1207370-12-181,1015757,Chea Sok May,The Bagel Bakery Cafe,5351 Geary Blvd,San Francisco,CA,94121,07/10/2015,,12/11/2018,,151 TOWNSEND ST,San Francisco,94107,CA,7220-7229,Food Services,f,f,H24,"RESTAURANT LESS THAN 1,000 SQFT",,,,,,,,,,,,,,
1232862-09-191,1106220,Manajan Sawasdee,The Art Bistro,2960 Clement St,San Francisco,CA,94121,08/25/2019,,08/25/2019,,2960 CLEMENT ST,San Francisco,94121,CA,7220-7229,Food Services,f,f,H24,"RESTAURANT LESS THAN 1,000 SQFT",,,,,,,,,,,,,,
1203360-10-181,1024073,Acworth Peter,The Armory Club,1799 Mission St,San Francisco,CA,94103,01/01/2014,,01/01/2014,,1155 MISSION ST,San Francisco,94103,CA,7220-7229,Food Services,f,f,,,9,Mission,,,,,,,,,,,,
1080171-07-161,1038719,The Argentum Project Llc,The Argentum Project,47 6th St,San Francisco,CA,94103,07/01/2016,,07/01/2016,,549 MONTEREY BLVD,San Francisco,94127,CA,7220-7229,Food Services,f,f,H25 H73,Multiple,6,South of Market,,,,,,,,,,,,
1247744-02-201,458909,The Progress Provisions Llc,The Anchovy Bar,"1740 O'farrell St",San Francisco,CA,94115,05/10/2011,,02/28/2020,,1525 Fillmore St,San Francisco,94115,CA,7220-7229,Food Services,f,f,,,5,Western Addition,,,,,,,,,,,,
0439752-01-001,439752,Project Cheese Llc,The American Grilled Cheese Ki,1 South Park Ave 103a,San Francisco,CA,94107,07/01/2009,,11/11/2009,,PO BOX P O BOX 16265,Oakland,94610,CA,7220-7229,Food Services,f,f,H24,"RESTAURANT LESS THAN 1,000 SQFT",,,,POINT (-122.393034 37.782318),31,1,10,8,28856,6,9,2,6,2
1224223-06-191,1009784,The Absinthe Group Properties Llc,The Absinthe Group Properties,368 Hayes St,San Francisco,CA,94102,02/05/2015,,09/01/2018,,275 BATTERY ST FL 9,San Francisco,94111,CA,7220-7229,Food Services,t,f,,,,,,,,,,,,,,,,
0422643-03-001,422643,Patch Edward Llc,The Abbots Cellar,742 Valencia St,San Francisco,CA,94112,10/24/2007,,03/15/2013,01/31/2015,3141 16TH ST,San Francisco,94103,CA,7220-7229,Food Services,f,f,,,,,,POINT (-122.421509 37.760976),53,3,5,20,28859,2,5,7,19,4
0422643-02-001,422643,Patch Edward Llc,"The Abbot's Cellar",742 Valencia St,San Francisco,CA,94110,10/24/2007,,05/18/2011,01/31/2015,3141 16TH ST,San Francisco,94103,CA,7220-7229,Food Services,f,f,,,8,Mission,,POINT (-122.421509 37.760976),53,3,5,20,28859,2,5,7,19,4
1162179-09-171,1076620,Bala Life,"That's My Jam",324 Divisadero St,San Francisco,CA,94117,09/26/2017,,09/26/2017,,324 DIVISADERO ST,San Francisco,94117,CA,7220-7229,Food Services,f,f,H24 POS01 WM18,Multiple,,,,,,,,,,,,,,
1161808-09-171,1076398,"Thanh Ha, Inc",Thanh Thanh Cafe,2205 Clement St,Sn Francisco,CA,94121,09/21/2017,,09/21/2017,,1780 BANCROFT AVE UNIT 326,San Francisco,94124,CA,7220-7229,Food Services,f,f,H24,"RESTAURANT LESS THAN 1,000 SQFT",,,,,,,,,,,,,,
1161717-09-171,1076398,"Thanh Ha, Inc",Thanh Thanh Cafe,1780 Bancroft Ave 326 Ave,San Francisco,CA,94124,09/21/2017,,09/21/2017,09/21/2017,1780 BANCROFT AVE UNIT 326,San Francisco,94124,CA,7220-7229,Food Services,f,f,,,10,Bayview Hunters Point,,,,,,,,,,,,
0434827-01-001,434827,Le Johnny,Thanh Tam Ii Restaurant,577 Valencia St,San Francisco,CA,94110,01/01/2009,,01/01/2009,,577 VALENCIA ST,San Francisco,94110,CA,7220-7229,Food Services,f,f,H24,"RESTAURANT LESS THAN 1,000 SQFT",9,Mission,,POINT (-122.421764 37.763664),53,3,2,20,28859,8,7,7,19,4
0474971-01-001,474971,Thanh Long Lp,Thanh Long Restaurant,4101 Judah St,San Francisco,CA,94122,01/01/2013,,01/01/2013,,4101 JUDAH ST,San Francisco,94122,CA,7220-7229,Food Services,f,f,,,,,,POINT (-122.506099 37.760428),39,10,7,35,56,1,3,5,35,8
1036716-08-151,1017114,Wongsupreekul Surachai,Thainery,380 Bush St Ste 3,San Francisco,CA,94104,08/17/2015,,08/17/2015,,268 19TH AVE 1 APT,San Francisco,94121,CA,7220-7229,Food Services,f,f,H24 POS01,Multiple,,,,POINT (-122.404048 37.79075),19,6,3,8,28854,5,10,1,6,1
1201118-09-181,1092969,Khomsak Panyapoemtaweesakul,Thailand Restaurant,438 Castro  A,San Francisco,CA,94114,09/21/2018,,09/21/2018,,1051 POST ST 21 APT,San Francisco,94109,CA,7220-7229,Food Services,f,f,H25,"RESTAURANT 1,000 - 2,000 SQFT",,,,,,,,,,,,,,
1239592-12-191,1109036,Artit Thamok,"Thai's Kitchen",105 Manor Dr. Dr,South San Francisco,CA,94080,11/25/2019,,11/25/2019,,105 MANOR DR,South San Francisco,94080,CA,7220-7229,Food Services,f,f,,,7,West of Twin Peaks,,,,,,,,,,,,
0910191-02-001,910191,Panossian Odette & Abraham,Thai To Go,101 Spear St A-18,San Francisco,CA,94105,01/07/1992,,07/27/1994,10/31/1998,101 SPEAR ST STE A21,San Francisco,94105,CA,7220-7229,Food Services,f,f,,,6,Financial District/South Beach,,POINT (-122.394067 37.792534),108,1,10,8,28855,12,9,2,6,2
1024828-04-151,910191,Panossian Odette & Abraham,Thai To Go,101 Spear St #A-19,San Francisco,CA,94105,01/07/1992,,11/01/1998,,101 SPEAR ST STE A21,San Francisco,94105,CA,7220-7229,Food Services,f,f,,,,,,POINT (-122.394067 37.792534),108,1,10,8,28855,12,9,2,6,2
0308085-01-001,308085,Ocharoenkul J & Praditpet P,Thai Time Restaurant,315 8th Ave,San Francisco,CA,94118,09/01/1997,,09/01/1997,,315 8TH AVE,San Francisco,94118,CA,7220-7229,Food Services,f,f,H24,"RESTAURANT LESS THAN 1,000 SQFT",1,Inner Richmond,,POINT (-122.466545 37.782509),5,8,4,11,54,11,2,9,11,6
0433196-02-001,433196,Thai Thai Gourmet Thai Food,Thai Thai Noodle 2,1400 California St,San Francisco,CA,94109,10/15/2008,,07/02/2014,,1400 CALIFORNIA ST,San Francisco,94109,CA,7220-7229,Food Services,f,f,H25,"RESTAURANT 1,000 - 2,000 SQFT",3,Nob Hill,,POINT (-122.417405 37.790998),16,6,3,21,28858,5,10,1,21,1
0433196-01-001,433196,Thai Thai Gourmet Thai Food,Thai Thai Gourmet Thai Food,653 Clay St,San Francisco,CA,94111,10/15/2008,,10/15/2008,03/02/2015,1400 CALIFORNIA ST,San Francisco,94109,CA,7220-7229,Food Services,f,f,,,3,Chinatown,,POINT (-122.404425 37.794506),104,6,3,6,28860,3,10,1,4,1
1007734-09-141,433196,Thai Thai Gourmet Thai Food,Thai Thai 2,1400 California St,San Francisco,CA,94109,10/15/2008,,10/15/2008,,1400 CALIFORNIA ST,San Francisco,94109,CA,7220-7229,Food Services,f,f,,,3,Nob Hill,,POINT (-122.417405 37.790998),16,6,3,21,28858,5,10,1,21,1
0354778-01-001,354778,Wirat Inc,Thai Spice Restaurant,1730 Polk St,San Francisco,CA,94109,04/01/2002,,04/01/2002,,1730 POLK ST,San Francisco,94109,CA,7220-7229,Food Services,f,f,H25,"RESTAURANT 1,000 - 2,000 SQFT",3,Russian Hill,,POINT (-122.421159 37.792831),105,4,3,32,28858,13,10,6,32,9
1177530-01-181,467962,Tipsuwon Inc,Thai Noodle Bar,629 Broadway St,San Francisco,CA,94134,04/01/2012,,07/29/2013,,631 BROADWAY,San Francisco,94133,CA,7220-7229,Food Services,f,f,,,,,,,,,,,,,,,,
1187498-05-181,1087420,Thai Nghiep Ky Inc,Thai Nghiep Ky Mi Gia Restaurant,1427 Noriega St,San Francisco,CA,94122,04/01/2018,,04/01/2018,,1427 NORIEGA ST,San Francisco,94122,CA,7220-7229,Food Services,f,f,H25,"RESTAURANT 1,000 - 2,000 SQFT",,,,,,,,,,,,,,
1159092-08-171,1075218,Sirimongkol Vegetarian Inc,Thai Idea Vegetarian,710 Polk St,San Francisco,CA,94109,08/24/2017,,08/24/2017,,710 POLK ST,San Francisco,94109,CA,7220-7229,Food Services,f,f,H24,"RESTAURANT LESS THAN 1,000 SQFT",,,,,,,,,,,,,,
0944173-07-001,944173,Thai House Inc,Thai House Express On Castro,599 Castro St,San Francisco,CA,94114,08/01/1995,,04/14/2004,,599 CASTRO ST,San Francisco,94114,CA,7220-7229,Food Services,f,f,H26,"RESTAURANT GREATER THAN 2,000 SQFT",8,Castro/Upper Market,,POINT (-122.43485 37.759385),38,3,5,5,28862,2,5,7,3,4
1177290-01-181,944173,Thai House Inc,Thai House 530,530 Valencia St,San Francisco,CA,94110,08/01/1995,,01/29/2018,01/29/2018,599 CASTRO ST,San Francisco,94114,CA,7220-7229,Food Services,f,f,,,8,Mission,,,,,,,,,,,,
0450932-01-001,450932,Sahesalaeh Hilda,Thai Cottage Restaurant,4041 Judah St,San Francisco,CA,94122,08/01/2010,,08/01/2010,,4041 JUDAH ST,San Francisco,94122,CA,7220-7229,Food Services,f,f,H24,"RESTAURANT LESS THAN 1,000 SQFT",4,Sunset/Parkside,,POINT (-122.505558 37.760449),39,10,7,35,56,1,3,5,35,8
0381164-01-001,381164,"Thai Int'l Business Inc",Thai Chef 2,4133 18th St,San Francisco,CA,94114,09/01/2004,,09/01/2004,,1290 39TH AVE,San Francisco,94122,CA,7220-7229,Food Services,f,f,H25,"RESTAURANT 1,000 - 2,000 SQFT",8,Castro/Upper Market,,POINT (-122.435782 37.760846),38,3,5,5,28862,15,5,7,3,4
1151024-06-171,1072126,Tc Dining Inc,Thai Cafe,3407 Geary Blvd,San Francisco,CA,94118,06/20/2017,,06/20/2017,,3407 GEARY BLVD,San Francisco,94118,CA,7220-7229,Food Services,f,f,H25,"RESTAURANT 1,000 - 2,000 SQFT",,,,,,,,,,,,,,
1213835-02-191,1098675,Thai @ Siam Corporations,Thai @ Siam Corporations,201 Ellis St,San Francisco,CA,94102,02/23/2019,,02/23/2019,,201 ELLIS ST,San Francisco,94102,CA,7220-7229,Food Services,f,f,,,,,,,,,,,,,,,,
1235478-10-191,1107305,Test Prod Patch 72 Nb 10042019,Test Prod Patch 72 Nb 10042019,1155 Market St,San Francisco,CA,94103,01/01/2019,,01/01/2019,,1155 MARKET ST,San Francisco,94103,CA,7220-7229,Food Services,f,f,,,,,,,,,,,,,,,,
1184062-04-181,1085903,Eugene Pear Store,Test Pear,Pear Street,San Diego,CA,33333,04/04/2018,,04/04/2018,,0000 UNDELIVERABLE MAIL,San Francisco,99999,CA,7220-7229,Food Services,f,f,,,,,,,,,,,,,,,,
0390517-01-001,390517,Nice Ventures-4 Terzo Lp,Terzo,3011 Steiner St,San Francisco,CA,94123,07/12/2005,,07/12/2005,,4104 24TH ST PMB 8111,San Francisco,94114,CA,7220-7229,Food Services,f,f,D04 H25 P48,Multiple,2,Marina,,POINT (-122.437196 37.797158),14,4,6,13,57,13,1,6,17,9
1204993-11-181,1094740,Yinghan Liu,Teruya Ramen,3944 Geary Blvd,San Francisco,CA,94118,11/07/2018,,11/07/2018,,150 FONT BLVD 1B APT,San Francisco,94132,CA,7220-7229,Food Services,f,f,H26,"RESTAURANT GREATER THAN 2,000 SQFT",1,Inner Richmond,,,,,,,,,,,,
0422448-01-001,422448,Terroir Sf Llc,Terroir,81 Langton St Unit 2,San Francisco,CA,94103,10/15/2007,,10/15/2007,,1116 FOLSOM ST # 2,San Francisco,94103,CA,7220-7229,Food Services,f,f,H07 H73,Multiple,6,South of Market,,POINT (-122.408579 37.77647),32,1,10,34,28853,8,9,2,34,2
1151615-06-171,1072298,"Sf Power Supply, Llc",Territory,Mt Vernon Ave,Alexandria,VA,22301,12/21/2015,,05/15/2017,,1712A MOUNT VERNON AVE,Alexandria,22301,VA,7220-7229,Food Services,f,f,,,,,,,,,,,,,,,,
0462217-01-001,462217,Tee Terrace Inc,Terrace Cafe,2100 Webster St Ste 108,San Francisco,CA,94115,09/01/2011,,09/01/2011,,2100 WEBSTER ST STE 108,San Francisco,94115,CA,7220-7229,Food Services,f,f,H25,"RESTAURANT 1,000 - 2,000 SQFT",2,Pacific Heights,,POINT (-122.432496 37.790454),102,4,6,30,29490,13,1,6,27,9
1235649-10-191,1107379,Terra Soups,Terra Soups,77 Dow Pl Bldg 507,San Francisco,CA,94107,10/04/2019,,10/04/2019,,77 DOW PL 507 BLDG,San Francisco,94107,CA,7220-7229,Food Services,f,f,,,6,Financial District/South Beach,,,,,,,,,,,,
1084885-07-161,1040391,Yang Jie,Terra Cotta Warrior,2555 Judah St,San Francisco,CA,94122,07/25/2016,,07/25/2016,,2555 JUDAH ST,San Francisco,94122,CA,7220-7229,Food Services,f,f,H25,"RESTAURANT 1,000 - 2,000 SQFT",,,,,,,,,,,,,,
1240870-12-191,1017203,Flatley Nafy,Teranga Foods,1453 Mission St,San Francisco,CA,94103,08/19/2015,,12/19/2019,,6146 California St,San Francisco,94121,CA,7220-7229,Food Services,f,f,,,6,South of Market,,,,,,,,,,,,
1240867-12-191,1017203,Flatley Nafy,Teranga Foods,2948 Folsom St,San Francisco,CA,94110,08/19/2015,,12/19/2019,,6146 California St,San Francisco,94121,CA,7220-7229,Food Services,f,f,,,9,Mission,,,,,,,,,,,,
1224854-06-191,1017203,Flatley Nafy,Teranga Baobab/ Teranga Foods,2948 Folsom St,San Francisco,CA,94110,08/19/2015,,08/19/2015,12/19/2019,6146 CALIFORNIA ST,San Francisco,94121,CA,7220-7229,Food Services,f,f,,,,,,,,,,,,,,,,
1240869-12-191,1017203,Flatley Nafy,Teranga Baobab,1453 Mission St,San Francisco,CA,94103,08/19/2015,,12/19/2019,,6146 California St,San Francisco,94121,CA,7220-7229,Food Services,f,f,,,6,South of Market,,,,,,,,,,,,
1240866-12-191,1017203,Flatley Nafy,Teranga Baobab,2948 Folsom St,San Francisco,CA,94110,08/19/2015,,12/19/2019,,6146 California St,San Francisco,94121,CA,7220-7229,Food Services,f,f,,,9,Mission,,,,,,,,,,,,
1036951-08-151,1017203,Flatley Nafy,Teranga Baobab,2948 Folsom St,San Francisco,CA,94110,08/19/2015,,08/19/2015,06/12/2019,6146 CALIFORNIA ST,San Francisco,94121,CA,7220-7229,Food Services,f,f,,,,,,POINT (-122.413841 37.75001),53,3,2,20,28859,2,7,7,19,4
1240868-12-191,1017203,Flatley Nafy,Teranga,1453 Mission St,San Francisco,CA,94103,08/19/2015,,12/19/2019,,6146 California St,San Francisco,94121,CA,7220-7229,Food Services,f,f,,,6,South of Market,,,,,,,,,,,,
1036949-08-151,1017203,Flatley Nafy,Teranga,2948 Folsom St,San Francisco,CA,94110,08/19/2015,,08/19/2015,,6146 CALIFORNIA ST,San Francisco,94121,CA,7220-7229,Food Services,f,f,,,,,,POINT (-122.413841 37.75001),53,3,2,20,28859,2,7,7,19,4
1141350-03-171,476500,Alcyone Llc,Tequila Mockingbird,86 2nd St,San Francisco,CA,94105,02/11/2013,,02/23/2017,,127 STEVENSON ST,San Francisco,94105,CA,7220-7229,Food Services,f,f,H86,BARS/TAVERNS W/O FOOD PREP,,,,,,,,,,,,,,
1055116-02-161,1026697,Teo Llc,Teo,1111 Mission St,San Francisco,CA,94103,02/01/2016,,02/01/2016,,1111 MISSION ST,San Francisco,94103,CA,7220-7229,Food Services,f,f,D04 H26,Multiple,6,South of Market,,POINT (-122.411173 37.779023),32,1,10,34,28853,8,9,2,34,2
0480133-01-001,480133,Tenroku Sushi Inc,Tenroku Sushi,1825 Post St #215,San Francisco,CA,94115,06/05/2013,,06/05/2013,,1825 POST ST STE 215,San Francisco,94115,CA,7220-7229,Food Services,f,f,H24,"RESTAURANT LESS THAN 1,000 SQFT",,,,POINT (-122.431895 37.785316),101,4,11,15,29490,13,11,6,13,9
1175159-01-181,440303,W&c Japanese Restaurant Inc,Tenroku Ramen #2,4435 Mission St,San Francisco,CA,94112,07/01/2009,,01/10/2018,01/13/2020,4435 MISSION ST,San Francisco,94112,CA,7220-7229,Food Services,f,f,H25,"RESTAURANT 1,000 - 2,000 SQFT",,,,,,,,,,,,,,
1162213-09-171,1076640,Tenroku Ramen Inc.,Tenroku Ramen,3251 20th Ave Ste 250c,San Francisco,CA,94132,09/26/2017,,09/26/2017,,3251 20TH AVE STE 250C,San Francisco,94132,CA,7220-7229,Food Services,f,f,H24 POS01,Multiple,7,Lakeshore,,,,,,,,,,,,
0370770-01-001,370770,Tennessee Grill Inc,Tennessee Grill Inc,1128 Taraval St,San Francisco,CA,94116,07/16/2003,,07/16/2003,,1128 TARAVAL ST,San Francisco,94116,CA,7220-7229,Food Services,f,f,H26,"RESTAURANT GREATER THAN 2,000 SQFT",4,Sunset/Parkside,,POINT (-122.478359 37.742934),40,10,7,35,29491,1,3,5,35,8
0472029-01-001,472029,Abisu Inc,Tenmatsu Grab And Go,336 Kearny St,San Francisco,CA,94108,09/15/2012,,09/15/2012,,336 KEARNY ST,San Francisco,94108,CA,7220-7229,Food Services,f,f,H24,"RESTAURANT LESS THAN 1,000 SQFT",3,Financial District/South Beach,,POINT (-122.404133 37.791179),104,6,3,8,28854,5,10,1,6,1
0473519-01-001,473519,Lee Jeff,Tenglong Chinese Restaurant,208 Clement St,San Francisco,CA,94118,10/01/2012,,10/01/2012,,208 CLEMENT ST,San Francisco,94118,CA,7220-7229,Food Services,f,f,H25,"RESTAURANT 1,000 - 2,000 SQFT",,,,POINT (-122.461506 37.7831),5,8,4,11,54,11,2,9,11,6
1155862-07-171,1073935,Tenderloin Tessie Holiday Dinners,Tenderloin Tessie Holiday Dinners,2261 Market St #494,San Francisco,CA,94114,11/28/1974,,11/28/1974,,2261 MARKET ST # 494,San Francisco,94114,CA,7220-7229,Food Services,f,f,,,,,,,,,,,,,,,,
0481136-01-001,481136,Typ Restaurant Group Inc,Tender Greens,30 Fremont St,San Francisco,CA,94105,09/01/2013,,09/01/2013,,1201 W 5TH ST T400 STE,Los Angeles,90017,CA,7220-7229,Food Services,f,f,D04 H26 POS01,Multiple,,,,POINT (-122.397934 37.79139),108,6,10,8,28855,12,9,2,6,2
1007901-09-141,481136,Typ Restaurant Group Inc,Tender Greens,266 King St,San Francisco,CA,94107,09/01/2013,,09/22/2014,,1201 W 5TH ST T400 STE,Los Angeles,90017,CA,7220-7229,Food Services,f,f,D04 H26,Multiple,,,,POINT (-122.393339 37.777069),34,1,10,4,28856,6,9,2,20,2
1212812-02-191,1098220,"Tony & Lex , Llc",Tender,655 Larkin St,San Francisco,CA,94109,02/10/2019,,02/10/2019,,655 LARKIN ST,San Francisco,94109,CA,7220-7229,Food Services,f,f,H26,"RESTAURANT GREATER THAN 2,000 SQFT",6,Tenderloin,,,,,,,,,,,,
0362594-01-001,362594,Ten Ichi Japanese Rest Inc,Ten Ichi Japanese Restaurant,2235 Fillmore St,San Francisco,CA,94115,01/02/2003,,01/02/2003,,2235 FILLMORE ST,San Francisco,94115,CA,7220-7229,Food Services,f,f,H25,"RESTAURANT 1,000 - 2,000 SQFT",2,Pacific Heights,,POINT (-122.434136 37.790317),102,4,6,30,29490,13,1,6,27,9
1127734-11-161,1061332,Slurrednerd Llc,Ten Forward,161 Castro St,San Francisco,CA,94114,11/17/2016,,11/17/2016,,161 CASTRO ST,San Francisco,94114,CA,7220-7229,Food Services,f,f,,,8,Castro/Upper Market,,,,,,,,,,,,
0451117-01-001,451117,Pour Guys Soma Llc,Tempest Bar & Restaurant,431 Natoma St,San Francisco,CA,94103,08/01/2010,,08/01/2010,,431 NATOMA ST,San Francisco,94103,CA,7220-7229,Food Services,f,f,D04 H26 P23,Multiple,,,,POINT (-122.406322 37.781247),32,1,10,34,28853,14,9,2,34,2
1003152-07-141,1002098,Al Tan Inc,Temo Cafe,3000 24th St,San Francisco,CA,94110,07/22/2014,,07/22/2014,,3000 24TH ST,San Francisco,94110,CA,7220-7229,Food Services,f,f,H24 P54,Multiple,,,,POINT (-122.412191 37.75262),53,3,2,20,28859,2,7,7,19,4
0186231-01-001,186231,Shimizu Noboru,Tekka Japanese Restaurant,537 Balboa St,San Francisco,CA,94118,04/15/1989,,04/15/1989,,1727 SHASTA ST,Richmond,94804,CA,7220-7229,Food Services,f,f,H24,"RESTAURANT LESS THAN 1,000 SQFT",1,Inner Richmond,,POINT (-122.464747 37.777197),5,8,4,11,54,11,2,9,11,6
